@relation RacketSports_channel_0

@attribute channel_0_0 numeric
@attribute channel_0_1 numeric
@attribute channel_0_2 numeric
@attribute channel_0_3 numeric
@attribute channel_0_4 numeric
@attribute channel_0_5 numeric
@attribute channel_0_6 numeric
@attribute channel_0_7 numeric
@attribute channel_0_8 numeric
@attribute channel_0_9 numeric
@attribute channel_0_10 numeric
@attribute channel_0_11 numeric
@attribute channel_0_12 numeric
@attribute channel_0_13 numeric
@attribute channel_0_14 numeric
@attribute channel_0_15 numeric
@attribute channel_0_16 numeric
@attribute channel_0_17 numeric
@attribute channel_0_18 numeric
@attribute channel_0_19 numeric
@attribute channel_0_20 numeric
@attribute channel_0_21 numeric
@attribute channel_0_22 numeric
@attribute channel_0_23 numeric
@attribute channel_0_24 numeric
@attribute channel_0_25 numeric
@attribute channel_0_26 numeric
@attribute channel_0_27 numeric
@attribute channel_0_28 numeric
@attribute channel_0_29 numeric
@attribute activity {Badminton_Smash,Badminton_Clear,Squash_ForehandBoast,Squash_BackhandBoast}

@data
1.266676,-2.180751,-0.943348,0.440631,1.562197,0.2483,1.667997,1.143273,-0.354614,0.025025,-2.094929,1.409416,-15.84361,-22.66174,-15.777729,-11.565274,0.184927,2.184308,-2.918847,-1.438143,-1.832789,-2.392894,-2.936923,-1.699626,-1.699626,-0.559298,-0.559298,-0.559298,-0.559298,-0.559298,Badminton_Smash
0.464568,7.017253,0.401548,0.401548,-2.830047,-6.471095,0.573532,3.254021,-13.186833,-11.779924,18.513985,11.64003,27.733688,16.737038,23.173903,7.357841,12.779266,7.508365,-7.004383,-7.004383,-7.004383,-7.004383,-7.004383,-7.004383,0.113304,-1.079117,-4.688915,-0.845835,11.056616,4.93532,Badminton_Smash
0.094274,1.185966,3.730646,3.730646,3.730646,0.230135,-2.241978,1.102817,1.407,4.704173,0.452359,1.487941,-0.029188,3.178922,4.932735,3.464659,8.10246,18.546478,20.060795,22.322626,13.559996,12.999302,11.526693,-4.551646,-5.94477,1.02494,8.210469,5.092355,2.561821,4.320047,Badminton_Smash
-1.23979,-1.2172,-0.215688,1.553247,1.445342,1.445342,1.600169,0.988995,0.429036,0.618512,-0.210343,-2.976008,-2.976008,-16.483828,-27.77869,-27.77869,-24.235151,-12.897745,-8.296985,0.248148,-0.955696,-3.401342,-0.581413,-0.007371,0.742599,-1.598074,-0.848916,5.507538,-3.27766,-3.27766,Badminton_Smash
-0.108107,4.973278,1.181158,-1.893015,-13.36145,-4.248398,20.46626,13.695476,15.102797,26.323359,15.070362,5.197025,12.036342,-4.572012,-3.459898,-2.197524,-2.197524,0.186241,1.260304,-0.192309,-0.192309,2.225519,6.468236,2.534591,1.483989,1.483989,-3.280541,-3.655558,0.088316,-0.69801,Badminton_Smash
1.697166,-12.212503,-12.212503,-8.188193,7.11451,7.11451,18.904236,28.917868,13.79418,-5.765338,-10.161427,-10.161427,10.805488,10.805488,10.64817,-0.024895,-3.716698,-0.037893,1.013967,5.759551,5.231716,2.90917,0.804069,-0.193523,4.639811,3.750886,1.804666,-3.606639,2.853455,6.048885,Badminton_Smash
0.343339,-0.189594,-0.189594,0.235822,1.876304,0.199856,0.002286,4.322093,2.095479,0.045257,1.192073,5.225397,11.624639,3.043914,-4.653333,2.067722,14.24395,28.884687,15.412426,16.67762,15.368426,13.779934,13.779934,2.765034,-2.262691,-6.745558,0.726165,11.317675,11.317675,3.741887,Badminton_Smash
1.656664,-0.635738,-0.635738,-1.441653,-1.127977,-1.385337,-1.803579,-6.447056,0.554976,7.755619,1.276965,25.226835,27.111504,16.879602,12.337935,6.139576,-7.308488,-8.143448,-2.059004,8.662248,3.750804,2.797769,1.837258,0.114071,9.267071,9.267071,9.267071,9.267071,9.267071,5.660589,Badminton_Smash
1.847522,-2.796628,-4.459279,-4.459279,13.042065,5.001417,-2.339495,3.20601,-2.348768,-1.07324,5.513421,7.118041,5.695653,3.43291,8.09258,22.761997,26.516743,14.920222,12.803904,5.843299,2.024039,11.931959,11.931959,-1.524329,-0.413441,1.117464,1.117464,3.145003,3.506387,3.79264,Badminton_Smash
6.100326,-5.496215,0.17493,-11.754095,4.411236,4.411236,4.411236,16.795109,-12.137781,11.664639,12.320093,-3.677511,-8.411749,-6.8527,1.302734,3.882917,9.538754,0.235519,0.235519,0.235519,0.235519,0.235519,-0.723582,2.803468,1.230407,1.625836,6.550268,0.125405,-4.161619,-0.611403,Badminton_Smash
2.518533,-5.743914,-12.131445,11.762376,8.529068,2.619113,24.614315,29.149687,29.149687,16.479214,-12.565352,-8.883444,-2.440034,-2.440034,7.401792,2.071579,-2.167836,-2.167836,2.069698,7.98029,-6.770968,-3.473087,-2.731826,0.145132,0.023022,8.733785,11.753159,10.853585,1.192108,1.19243,Badminton_Smash
3.134227,-1.525519,0.195454,0.195454,0.195454,0.195454,1.405597,1.405597,-1.407429,-1.72831,0.772136,-1.3344,-16.011202,-28.99073,-15.172361,-11.482534,0.600533,-1.181511,-2.80663,-2.713491,-2.440405,-1.131543,-1.508884,-2.843264,-2.075701,-1.283647,-1.203385,-1.203385,-1.830868,-1.830868,Badminton_Smash
0.791033,-2.274116,3.77206,11.828642,0.430306,0.430306,15.32724,28.993156,28.458546,19.642109,14.476133,18.597288,12.175924,3.241685,-3.959512,-6.164496,0.361887,9.550567,2.050142,2.945221,2.958544,4.066418,1.733963,1.235294,3.990687,0.35922,0.523388,0.523388,0.246054,1.197254,Badminton_Smash
