@relation RacketSports_channel_2

@attribute channel_2_0 numeric
@attribute channel_2_1 numeric
@attribute channel_2_2 numeric
@attribute channel_2_3 numeric
@attribute channel_2_4 numeric
@attribute channel_2_5 numeric
@attribute channel_2_6 numeric
@attribute channel_2_7 numeric
@attribute channel_2_8 numeric
@attribute channel_2_9 numeric
@attribute channel_2_10 numeric
@attribute channel_2_11 numeric
@attribute channel_2_12 numeric
@attribute channel_2_13 numeric
@attribute channel_2_14 numeric
@attribute channel_2_15 numeric
@attribute channel_2_16 numeric
@attribute channel_2_17 numeric
@attribute channel_2_18 numeric
@attribute channel_2_19 numeric
@attribute channel_2_20 numeric
@attribute channel_2_21 numeric
@attribute channel_2_22 numeric
@attribute channel_2_23 numeric
@attribute channel_2_24 numeric
@attribute channel_2_25 numeric
@attribute channel_2_26 numeric
@attribute channel_2_27 numeric
@attribute channel_2_28 numeric
@attribute channel_2_29 numeric
@attribute activity {Badminton_Smash,Badminton_Clear,Squash_ForehandBoast,Squash_BackhandBoast}

@data
-4.421537,-2.864239,-3.992804,-2.769629,-0.345838,1.462282,-0.733731,-1.554252,0.376582,5.262342,7.720245,-14.295092,-14.852295,-16.991022,15.644931,14.116446,-4.67732,-6.69726,-0.406152,1.403272,-1.297639,-2.341637,-1.378868,-2.402558,-2.402558,-3.345482,-3.345482,-3.345482,-3.345482,-3.345482,Badminton_Smash
0.466525,0.654392,0.135753,0.135753,-2.792065,-2.201365,-5.902676,-7.023791,12.558305,14.096924,-13.567251,-1.11968,-14.459626,-16.678856,-18.609955,12.311073,13.063409,7.477363,-2.720407,-2.720407,-2.720407,-2.720407,-2.720407,-2.720407,-5.061881,-6.55976,-7.74925,-7.115518,0.993784,0.103468,Badminton_Smash
0.47025,0.58883,0.325054,0.325054,0.325054,2.115776,-9.399391,-1.122593,8.974151,5.878318,3.647132,-2.336517,-2.252601,1.639849,4.263674,2.282155,-11.068951,-14.839563,-13.786926,-16.349684,12.06076,-8.476546,6.822443,0.341731,-5.51275,-4.960789,-2.286334,-5.04833,-9.075673,-3.366176,Badminton_Smash
-0.124296,-2.021917,-2.970356,-1.908206,-1.702518,-1.702518,-0.603764,-2.450116,-1.857314,0.551645,2.630756,9.054948,9.054948,-13.783949,-5.187603,-5.187603,-21.722078,11.501529,1.235982,-3.972645,-3.712434,-3.10243,-2.506525,-0.968531,-3.66955,-1.109142,-0.89063,-6.853376,2.630992,2.630992,Badminton_Smash
0.772173,-3.346607,-6.995264,-4.629456,12.033613,3.936902,-0.90157,-8.557257,-13.571109,-14.871473,16.94733,11.009568,6.891346,-5.569947,-4.484571,0.256493,0.256493,-3.08102,-3.068713,-1.5333,-1.5333,-0.573548,3.13261,-5.245285,-0.723293,-0.723293,-0.195571,2.208723,-1.756628,-0.637848,Badminton_Smash
0.666351,13.204077,13.204077,14.030359,0.114692,0.114692,-10.851751,20.15134,12.188908,7.210822,2.699287,2.699287,0.221074,0.221074,-1.381687,1.329722,-10.072735,-4.348997,-1.77267,-2.347946,1.285699,-1.513645,-2.055718,-5.001902,-3.578805,-5.002423,-3.067368,-2.787861,-1.276759,0.800013,Badminton_Smash
-0.498081,0.260478,0.260478,0.649528,-1.931315,-2.796358,0.693203,3.495003,4.290071,1.380452,-4.20155,3.199737,7.940812,-5.110281,-6.480356,-12.448872,-13.139832,-16.939949,11.337599,8.80559,3.058796,-1.905176,-1.905176,-3.16126,-2.577811,-2.882236,2.229739,2.208641,2.208641,-1.380254,Badminton_Smash
-0.317121,-1.111855,-1.111855,-4.302713,-6.303501,-6.513662,-10.006895,11.794014,13.666713,-12.215714,2.907605,-11.606716,23.424932,6.467498,13.184763,4.22189,-1.644131,-2.570388,-2.03833,3.535225,2.567476,-0.380404,-4.342458,-4.641782,-8.066107,-8.066107,-8.066107,-8.066107,-8.066107,-0.760085,Badminton_Smash
1.50226,-3.986141,-10.673168,-10.673168,9.744234,6.560528,3.932428,-3.903407,-7.880407,2.075984,9.429815,7.340551,-0.439356,-7.902601,-20.880733,-13.255133,-23.215492,11.404266,1.938829,-3.422685,4.547169,-1.249161,-1.249161,-4.901315,0.56511,6.156994,6.156994,-0.744423,-4.192219,-0.704151,Badminton_Smash
4.493414,-2.571191,-6.159119,12.667681,5.197687,5.197687,5.197687,-12.260637,-8.841247,17.042818,13.663432,11.931827,-5.467037,-2.778507,5.796026,-0.948864,8.345416,1.545787,1.545787,1.545787,1.545787,1.545787,-3.810551,-7.857978,-8.555522,-8.029808,-2.679063,4.505384,3.928498,0.2652,Badminton_Smash
