@relation RacketSports_channel_5

@attribute channel_5_0 numeric
@attribute channel_5_1 numeric
@attribute channel_5_2 numeric
@attribute channel_5_3 numeric
@attribute channel_5_4 numeric
@attribute channel_5_5 numeric
@attribute channel_5_6 numeric
@attribute channel_5_7 numeric
@attribute channel_5_8 numeric
@attribute channel_5_9 numeric
@attribute channel_5_10 numeric
@attribute channel_5_11 numeric
@attribute channel_5_12 numeric
@attribute channel_5_13 numeric
@attribute channel_5_14 numeric
@attribute channel_5_15 numeric
@attribute channel_5_16 numeric
@attribute channel_5_17 numeric
@attribute channel_5_18 numeric
@attribute channel_5_19 numeric
@attribute channel_5_20 numeric
@attribute channel_5_21 numeric
@attribute channel_5_22 numeric
@attribute channel_5_23 numeric
@attribute channel_5_24 numeric
@attribute channel_5_25 numeric
@attribute channel_5_26 numeric
@attribute channel_5_27 numeric
@attribute channel_5_28 numeric
@attribute channel_5_29 numeric
@attribute activity {Badminton_Smash,Badminton_Clear,Squash_ForehandBoast,Squash_BackhandBoast}

@data
0.287644,-1.054696,-1.134597,-0.761725,0.109198,0.242367,-0.415486,-0.191763,-0.514031,0.138495,0.596595,4.54904,-4.29602,5.593082,7.870266,2.460956,1.787123,0.70313,-0.258347,0.103872,-0.26101,-0.058594,0.189099,0.713784,0.713784,-0.114525,-0.114525,-0.114525,-0.114525,-0.114525,Badminton_Smash
-0.170456,-1.174547,-2.397035,-2.397035,-2.269193,-1.58737,-0.729764,0.492724,0.668507,1.598024,-0.319605,0.857606,4.783417,-24.463078,18.105606,-1.478172,-6.192341,-0.676497,2.04547,2.04547,2.04547,2.04547,2.04547,2.04547,0.660516,0.058594,-0.527348,-1.246458,-2.658046,-3.342533,Badminton_Smash
0.00799,-0.615239,-0.89223,-0.89223,-0.89223,-0.01598,-0.783032,-1.952252,-0.292971,0.226387,-0.732428,-1.629984,-0.460763,-0.878913,-1.454202,-1.496815,-0.226387,4.988497,-10.63751,1.717875,-1.526112,-1.081329,1.760489,1.904311,2.94569,2.476937,-0.005327,-0.103872,-0.082565,-0.189099,Badminton_Smash
0.098545,-1.672598,-1.345003,-0.966804,-0.346238,-0.346238,-0.468754,-0.303624,0.135832,0.058594,-0.074574,0.324931,0.324931,3.004284,-13.114447,-13.114447,13.055852,4.76211,4.152198,1.896321,-0.641873,-1.558073,-1.859034,-0.878913,0.079901,-0.191763,0.194426,0.138495,-0.556645,-0.556645,Badminton_Smash
-0.287644,-0.945497,-0.926854,-0.127842,1.448875,1.262439,-0.543328,4.133554,-8.642644,19.549154,3.246651,-1.131933,2.058787,1.054696,2.253213,2.120045,2.120045,2.727294,1.821747,0.743081,0.743081,-1.257112,-1.787123,-0.793685,-0.87625,-0.87625,-0.093218,0.047941,0.109198,0.314278,Badminton_Smash
-0.905547,1.302389,1.302389,1.384954,2.058787,2.058787,-0.340912,-16.563515,-0.617902,-1.363647,-1.009418,-1.009418,-0.516694,-0.516694,0.90022,3.172077,0.681823,-2.383719,-2.269193,-2.024163,-0.889566,0.9162,2.49558,3.478365,1.80044,-0.316941,-2.508897,-2.165322,-3.102829,-1.60335,Badminton_Smash
0.093218,-0.559308,-0.559308,-0.22905,-0.625893,-0.974794,-0.079901,-0.218397,-0.854943,0.077238,-1.227815,-1.126607,-1.78446,-0.553982,-0.162466,1.920292,2.620759,-31.382519,7.968811,4.578337,0.705794,-3.483691,-3.483691,-3.156097,-1.805767,0.585942,3.108156,2.173312,2.173312,1.331686,Badminton_Smash
-0.149149,-1.922955,-1.922955,-1.989539,-1.552746,-1.33435,-0.785695,0.316941,1.685915,-0.255684,2.990967,9.244566,-23.996986,15.884354,-4.381248,-2.895086,-0.759061,0.535338,0.050604,-0.364882,1.949589,2.335778,2.596788,0.894893,-1.640638,-1.640638,-1.640638,-1.640638,-1.640638,-1.914965,Badminton_Smash
-1.062686,-0.910873,-1.435558,-1.435558,-2.325124,0.026634,-0.519358,-2.309144,-1.992203,-1.147914,-0.87625,0.103872,-0.103872,1.712549,5.944647,-0.514031,-31.680817,1.400934,2.394372,0.495387,-0.117188,1.811093,1.811093,1.331686,1.347667,0.490061,0.490061,0.498051,-0.034624,-0.580615,Badminton_Smash
-0.428803,-0.913537,0.266337,1.590033,0.969468,0.969468,0.969468,4.290693,20.569225,6.461342,-2.077431,-0.492724,0.953487,1.640638,0.303624,-2.28251,-1.893658,-0.130505,-0.130505,-0.130505,-0.130505,-0.130505,0.135832,1.012082,0.44212,-1.174547,-1.281082,-0.69514,-0.553982,-0.588605,Badminton_Smash
